Year,Week,From,To,AandB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,13,20/03/2022,26/03/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,14,27/03/2022,02/04/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,15,03/04/2022,09/04/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,16,10/04/2022,16/04/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,17,17/04/2022,23/04/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,18,24/04/2022,30/04/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,19,01/05/2022,07/05/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,20,08/05/2022,14/05/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,21,15/05/2022,21/05/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,22,22/05/2022,28/05/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,23,29/05/2022,04/06/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,24,05/06/2022,11/06/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,25,12/06/2022,18/06/2022,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,26,19/06/2022,25/06/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,27,26/06/2022,02/07/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,28,03/07/2022,09/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,29,10/07/2022,16/07/2022,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,30,17/07/2022,23/07/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,31,24/07/2022,30/07/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,32,31/07/2022,06/08/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,33,07/08/2022,13/08/2022,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,34,14/08/2022,20/08/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,35,21/08/2022,27/08/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,36,28/08/2022,03/09/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,37,04/09/2022,10/09/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,38,11/09/2022,17/09/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,39,18/09/2022,24/09/2022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,40,25/09/2022,01/10/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,41,02/10/2022,08/10/2022,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,42,09/10/2022,15/10/2022,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,43,16/10/2022,22/10/2022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,44,23/10/2022,29/10/2022,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,45,30/10/2022,05/11/2022,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,46,06/11/2022,12/11/2022,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,47,13/11/2022,19/11/2022,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
